University,Degree,Date,User
Faculty of engineering- port said university,"Bachelor of Engineering - BE, computer and control",2012 - 2017,sara-mamdouh-4b62a8140
Ain Shams University,"Bachelor's degree, Computer and Systems Engineering",2013 - 2018,sara-nasr-maher
Ramses College For Girls (Ex. American College in Egypt),High School,1999 - 2013,sara-nasr-maher
Cairo University,"Bachelor's degree, Computer Engineering",Sep 2016 - Jul 2021,sara-yasser-02bb69214
"Faculty of Electronic Engineering, Menoufia University","Bachelor of Computer Science and Engineering, Computer science and engineering",2009 - 2013,sarah-samir-saad-7874a414b
The British University in Egypt,"Bachelor's degree, Computer Science",2014 - 2018,seif-el-din-ashraf-7149321a3
Cairo University,"Bachelor of Engineering - BE, Computer Engineering",2017 - 2022,seif-eldin-elsaeed-8b0572182
ITI,2010 - 2011,,shaban-abdelfatah-9050a548
Cairo University,"Bachelor of Engineering - BE, Bioengineering and Biomedical Engineering",2021,shaden-ahmed-sadek
Pharos University in Alexandria,"Bachelor's degree, Computer Engineering",Sep 2014 - Jul 2019,shady-eldawy-636a441b3
Zagazig University,"Bachelor's degree, Mechatronics, Robotics, and Automation Engineering",2014 - 2019,shady-mohamed
Faculty of Computer and Information Sciences - Ain Shams University,"Bachelor’s degree, Computer Science",2017 - 2021,shehab-alaa-4b29ba182
Alexandria University,"Bachelor's degree, Computer Science",2009 - 2013,shehab-eldean-ahmed-1b563b130
Ain Shams University,"Bachelor's degree, Computer Engineering",2015 - 2020,shehab-hosny
Cairo University,"Bachelor's degree, Computer Science",2012 - 2016,sherefshokry
Giza school,secondary,2009 - 2012,sherefshokry
Cairo University,"Bachelor's degree, Faculity of computers and informaion",2014 - 2018,sherien-doma
Ain Shams University,"Bachelor's degree, Computer Engineering",Sep 2016 - Jul 2021,sherif-ashraf-78599b176
Al-Ola Modern School,2002 - 2016,,sherif-ashraf-78599b176
Cairo University,"Bachelor's degree, Computer Engineering",2007 - 2012,sherifmedhat
Collège De La Salle,"Secondary degree, Egyptian school curriculum",2004 - 2007,sherifmedhat
Information Technology Institute (ITI),"Trainee, Full Stack Using MEARN Track",2020 - 2021,shimaa-el-maghraby
Benha University,Bachelor degree of computers and Information Technology,2016 - 2020,shimaa-el-maghraby
faculty of computer and information sciences ain shams university,"GOOD, Computer Science",2011 - 2015,shimaa-ramadan-04422115a
Ain Shams University,2014 - 2018,,shimaa-sayed
Knowledge Officer Career Accelerator,Product management,Oct 2021,shimaa-sayed
faculty of computers and information,"very good, Informtion systems",2007 - 2011,shorouk-nabil-shokr-b5186571
Badr,"93.6 %, badr secondary school",2004 - 2007,shorouk-nabil-shokr-b5186571
Information Technology Institute (ITI),Full Stack developing using PHP,Nov 2021 - Mar 2022,shrok-ayman-zain-472590188
Helwan University Cairo,"Bachelor's degree, Computer and Information Sciences and Support Services",2018 - 2021,shrok-ayman-zain-472590188
Cairo University,"Bachelor of Engineering - BE, Computer Engineering",2011 - 2016,shrok-yahya-40450a1aa
"Computer Science and Information System , Six of October University","B.Sc, Computer Science",2004 - 2007,taha-gamil-448b4249
Information Technology Institute (ITI),"Diploma, Software Development",2016 - 2017,tahaclr
Assiut University,"Bachelor's degree, Mathematical Statistics/Commerce",2010 - 2014,tahaclr
Mansoura University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",,tarek-ibrahim-eltorky-b77a5988
Information Technology Institute (ITI),"9 Months Diploma, Embedded systems",,tarek-ibrahim-eltorky-b77a5988
Helwan University Cairo,"Bachelor's degree, Telecommunications Engineering",2018 - 2023,tarek-ragab
Ain Shams University,Computer Engineering,2011 - 2016,tarek-talaat-9bb5b1a6
Cairo University,"Bachelor of Science (B.Sc.), Computer Engineering",1992 - 1997,tarekdawoud
Nile University - NU,"Bachelor of Science - BS, Computer Engineering",2012 - 2017,tayelno
Ain Shams University,"Bachelor's degree, Computer Science",2018 - 2022,tokaehab
Suez Canal University,"Bachelor's degree, Computer Science",2018 - Jul 2022,waelelsafty07
Mansoura University,"Bachelor's degree, Electronics and Communications Engineering",Sep 2013 - Aug 2018,walaa-abdallah94
Cairo University,"Bachelor's degree, Computer Engineering",2015 - 2020,walaa-ihab-100055163
"Religieuses Franciscaines School, Tahrir Square","Mathematics Diploma, Mathematics",2000 - 2015,walaa-ihab-100055163
University of Greenwich,"Master's degree, Computer Science",2019 - 2020,yara-mahmoud-0a72861aa
Ain Shams University,"Bachelor's degree, Computer Science",2016 - 2020,yashraf74
Rajac Language School,High School Diploma,2004 - 2016,yashraf74
Ain Shams University,"student, Computer Science",2019 - 2023,yasmeen-abdelaziz
The German University in Cairo,"Bachelor's degree, Business informatics",2010 - 2014,yasmin-eltahan-323b82168
Ramses College For Girls,1997 - 2010,,yasmin-eltahan-323b82168
Information Technology Institute (ITI),System Administration,2020 - 2021,yasmina-salah
Mansoura University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2015 - 2020,yasmina-salah
Computer Science,"Bachelor of Computer Science - BSc, Computer Science",2017 - 2021,yasmina-tarek-220a06173
Helwan University,"Bachelor of Engineering - BE, Computer Engineering",Sep 2017 - May 2022,yasmine-arafa-16511a199
The German University in Cairo,"Bachelor's degree, Business informatics",2014 - 2018,yasmine-nossair-190528b5
Alexandria University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2012 - 2017,yasser-mohamed-15317b147
Cairo University,"Bachelor of Arts - BA, History",2006 - 2011,yasser-sobhy
Lassonde School of Engineering - York University,"Bachelor of Science - BS, Computer Science",2020 - 2023,yasserelsaid
Cairo University,"Bachelor of Science - BS, Computer Engineering",2017 - 2019,yasserelsaid
University of Aberdeen,"Master's degree, Artificial Intelligence &amp; Machine Learning",2020 - Aug 2021,yassin-dinana
University of Westminster,"Bachelor of Engineering - BE, Electrical and Electronics Engineering",2017 - 2020,yassin-dinana
Alexandria University,"Bachelor's degree, Computer Engineering",2016 - 2021,yehia-elsayed-396398177
Ain Shams University,"Bachelor of Engineering - BE, Computer Software Engineering",2017 - 2022,yomna-abdulwahab
Modern University for Technology &amp; Information - MTI,"Bachelor's degree, Computer Science",2015 - 2019,yomna-fathy-52813a119
"faculty of engineering, alexandria university,egypt","Bachelor of Engineering - BE, Electrical, Electronics and Communications Engineering",Sep 2017 - Jun 2022,yomna-raouf-392440168
Zero To Mastery Academy,"Complete React Developer in 2021 (w/ Redux, Hooks, GraphQL), web development",Jan 2021 - Feb 2021,yomna-raouf-392440168
Ain Shams University,"Doctor of Philosophy - PhD, Computer Vision, Artificial Intelligence",Sep 2014 - Aug 2021,yomna-safaa-el-din
Ain Shams University,"Master of Science (M.Sc.), Computer Engineering",2009 - 2013,yomna-safaa-el-din
Ain Shams University,"Bachelor of Science (B.Sc.), Computer Engineering",2003 - 2008,yomna-safaa-el-din
Cairo University,"Bachelor of Engineering - BE, Computer Engineering",2018 - 2023,yomna-tarek
Cairo University,"Bachelor of Engineering - BE, Computer Engineering",Sep 2016 - Aug 2021,yosrym93
faculty of engineering ainshams university,"Bachelor's degree, computer and systems engineering",2016 - 2021,yousef-emad-6718b01b2
Cairo University,"Bachelor's degree, Computer Engineering",2018 - 2023,yousefqadryy
Cairo University,"Bachelor of Engineering - BE, Electronics and Electrical Communications Engineering",Sep 2018 - Jul 2022,yousof-osama
El Orman Language School,General Certificate of Education,2014 - 2017,yousof-osama
Cairo University,"Bachelor's degree, Computer Software Engineering",2016 - 2020,youssef--ezzat
Cairo University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",2017 - 2022,youssef-abdelhameed
ShARE - Growing a new generation of leaders,"LUM, Mobility",2020 - 2021,youssef-abdelhameed
Alexandria University,"Bachelor's degree, Computer and Systems Engineering",Sep 2015 - Aug 2020,youssef-ali97
Reserve Officers College,"Lieutenant, Military Science and Operational Studies",Nov 2020 - Apr 2021,youssef-ali97
Cairo University,"Bachelor's degree, Systems and Biomedical Engineering",2015 - 2020,youssef-gamal
"Arab Academy for Science, Technology and Maritime Transport","Computer Engineering, Machine Learning",2014 - 2019,youssef-mazen-2a6a441b4
Dar Eltarbia IGCSE,IGCSE,Sep 2012 - Sep 2014,youssef-mazen-2a6a441b4
Ain Shams University,"Bachelor's degree, Computer Engineering",Sep 2017 - Jul 2022,youssef-mostafa2000
Cairo University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",Sep 2017 - Jul 2022,youssefgalal
"Faculty of Engineering, Alexandria University, Egypt","Bachelor's degree, Computer Software Engineering",2017 - 2022,youssefhussein
Misr University for Science and Technology,"Bachelor's degree, Engineering",2014 - 2019,youssefmagdi
The German University in Cairo,"Bachelor of Applied Science - BASc, Computer Engineering",2017 - 2022,youssefsfahmy
St. Fatima Language School,International General Certificate of Secondary Education (IGCSE),2014 - 2017,youssefsfahmy
Ain Shams University,"Master's degree, Computer Engineering",Oct 2021 - Jul 2024,youssephahmed
Ain Shams University,"Bachelor's degree, Computer and Systems Engineering",2014 - 2019,youssephahmed
Ain Shams University,"Bachelor's degree, Computer Science",2017 - 2021,yussef-ayman
"Arab Academy for Science, Technology and Maritime Transport",2015 - 2019,,yusuf-abdelmoniem-b8934716a
Ain Shams University,"Master of Science - MS, Artificial Intelligence",2020 - Jun 2023,yusuf-awad
Ain Shams University,"Bachelor's degree, Computer and Information Science",2015 - 2019,yusuf-awad
Alexandria University,"Bachelor of Science - BS, Computer and Communications Engineering",Sep 2016 - Jul 2021,zeyad-el-halawany-543753235
El Quds International School,"IGCSE, Applied Mathematics",Sep 2013 - Jun 2016,zeyad-el-halawany-543753235
"Victoria College, Alexandria",Mathematics,Sep 2002 - Jun 2013,zeyad-el-halawany-543753235
Ain Shams University,"Bachelor's degree, Computer and Information Sciences, General",2013 - 2018,zeyadetman
Udacity,"Student, Full Stack Web Developer Nanodegree",2018 - 2018,zeyadetman
Alexandria University,"Bachelor of Engineering - BE, Computer Engineering",Sep 2016 - Jul 2021,zeyadosama
University of East London,"Bachelor of Engineering - BE, Computer Engineering and Software Systems",Oct 2021 - May 2025,ziad-amerr
Ain Shams University,"Bachelor of Engineering - BE, Computer Engineering and Software Systems",2020 - 2025,ziad-amerr
El Kafrawy Official Language Schools,"High School, Mathematics",2014 - 2020,ziad-amerr
"Arab Academy for Science, Technology and Maritime Transport","Bachelor's degree, Computer Science",2011 - 2015,ziad-ayman-63645b115
"Cairo university, Faculty of Engineering","Graduate, Computer Engineering",2012 - 2016,ziad-madkour
El Wesam Exp. language school,General Secondary Certificate,2009 - 2011,ziad-madkour
Mansoura University,"Bachelor's degree, Computer and Information Sciences, General",Sep 2018 - Jul 2022,zienabmuhammad
Cairo University,"Student, Electrical and Electronics Engineering",2016 - 2021,zyad-ahmed-b588681b2
